timestamp,pitch,pitch_rate,error,integral,wheel_vel,control_output,wheel_r_pos,wheel_r_vel,wheel_r_torque,wheel_l_pos,wheel_l_vel,wheel_l_torque
33.728000,-0.045100,-0.081963,-0.091598,-0.000366,-1.204314,-1.204314,-546.944685,0.021582,-0.044645,-525.956664,0.028295,-0.078871
33.732000,-0.047993,0.114240,-0.094490,-0.000744,-1.395218,-1.395218,-546.944589,0.008075,0.021763,-525.956472,0.036710,-0.065966
33.736000,-0.044097,0.334020,-0.090595,-0.001107,-1.503612,-1.503612,-546.944589,0.008075,0.021763,-525.956472,0.036710,-0.065966
33.740000,-0.050046,0.009594,-0.096589,-0.001493,-1.645947,-1.645947,-546.950629,-0.796849,-1.033545,-525.962608,-0.818909,-0.950918
33.744000,-0.055500,0.207469,-0.102081,-0.001901,-1.878203,-1.878203,-546.953314,-0.776992,-1.099891,-525.965772,-0.854071,-1.002722
33.748000,-0.066559,0.258404,-0.113141,-0.002354,-2.166656,-2.166656,-546.957820,-0.968410,-1.012967,-525.971045,-1.127998,-0.763294
33.752000,-0.069846,0.164201,-0.116451,-0.002820,-2.341754,-2.341754,-546.957820,-0.968410,-1.012967,-525.971045,-1.127998,-0.763294
33.756000,-0.073254,-0.073530,-0.119897,-0.003299,-2.498559,-2.498559,-546.969804,-1.531956,-1.025745,-525.983509,-1.580497,-0.889645
33.760000,-0.077985,0.370697,-0.124641,-0.003798,-2.793043,-2.793043,-546.979583,-1.832391,-0.819130,-525.993959,-1.946909,-0.621070
33.764000,-0.084161,0.409106,-0.130852,-0.004321,-3.044208,-3.044208,-546.986582,-1.993095,-0.780734,-526.001053,-2.059578,-0.672355
33.768000,-0.088788,-0.139933,-0.135492,-0.004863,-3.182694,-3.182694,-546.995019,-2.215382,-0.953272,-526.009586,-2.255917,-0.872705
33.772000,-0.095938,0.280908,-0.142664,-0.005434,-3.525755,-3.525755,-547.004798,-2.489727,-0.917325,-526.019557,-2.522712,-0.879187
33.776000,-0.099967,0.803342,-0.146721,-0.006021,-3.853990,-3.853990,-547.018508,-2.635341,-0.867325,-526.033075,-2.627499,-0.796450
33.780000,-0.105153,0.797402,-0.151919,-0.006629,-4.112862,-4.112862,-547.027520,-2.831669,-1.076722,-526.042087,-2.828680,-0.975481
